名称,电话,Address,CityName
新田社区新荔公园篮球场,0755-23204706,宝安区福海街道新田社区新田旧村,深圳市
新桥街道中心公园篮球场,0755-27226138,宝安区新桥街道新沙路168号,深圳市
芙蓉体育文化公园,0755-27226138,宝安区新桥街道新玉路与横岗下交叉口,深圳市
田背篮球场,21011606,龙华区福城街道田背一村一路,深圳市
金倡达科技园篮球场,13714466661,龙华区观湖街道樟坑径社区上围村金倡达科技园,深圳市
桔岭新村篮球场,28164280,龙华区福城街道桔岭新村党群V站边,深圳市
章阁股份公司篮球场,,龙华区福城街道章阁路309号（章阁股份公司）旁,深圳市
下围村篮球场,13714506529,龙华区观湖街道下围村篮球场,深圳市
松元厦工作站篮球场,,龙华区观湖街道观湖环观中路观城社区工作站内,深圳市
笋岗街道综合性文体服务中心,0755-82440939,罗湖区罗湖区宝安北路4008号二楼,深圳市
海上田园五人制足球场,13760376105,宝安区沙井街道民主大道海上田园景区内,深圳市
沙头七人制足球场,13600197298,宝安区沙井街道沙头社区沙壆三路,深圳市
鸿业工业园篮球场,,宝安区航城街道黄麻布社区簕竹角梁坑三路与簕竹角路交叉口西北,深圳市
黄麻布股份公司篮球场,,宝安区航城街道黄麻布社区黄麻布路34号,深圳市
铁岗村篮球场,0755-27948165,宝安区西乡街道铁岗社区环村东路庆泰园工业区旁,深圳市
龙珠山顶篮球场,,宝安区西乡街道龙珠社区龙珠花园,深圳市
麻布社区篮球场,0788-29611454,宝安区西乡街道海城路一号,深圳市
径贝社区篮球场,29636306,宝安区西乡街道径贝社区径贝新村20号旁,深圳市
宝安公园网球场（公益开放）,13480743356,宝安区新安街道宝安公园东门,深圳市
桂园街道综合文体中心,0755-82117803,罗湖区松园路68号鸿翔花园7栋A座2楼,深圳市
莲塘街道综合性文体服务中心,0755-25359874,罗湖区莲塘街道港莲路城市东座二楼,深圳市
九围勒杜鹃谷足球场,19924564569,宝安区航城街道簕杜鹃谷公园旁,深圳市
黄麻布足球场,19924564569,宝安区航城街道黄麻布路42号黄麻布公园,深圳市
大浪社区篮球场,0755-29903822,宝安区新安街道创业二路北二巷5号对面,深圳市
洪浪公园篮球场,15989552993,宝安区新安街道新安20区洪浪南路洪浪公园,深圳市
海裕社区篮球场,0755-21500351,宝安区新安街道玉律路163号,深圳市
龙井社区湖滨花园篮球场,0755-27085594,宝安区新安街道建安一路2号对侧篮球场,深圳市
新安街道龙井社区双界河篮球场,0755-29903822,宝安区新安街道龙井社区双界河篮球场,深圳市
罗田森林公园网球场,0755-27889202,宝安区燕罗街道燕罗街道罗田森林公园,深圳市
盛力人和格斗运动馆天安店,18643807827,龙岗区龙城街道天安数码城3栋A座四楼,深圳市
盛力人和格斗运动馆碧湖店,18898792912,龙岗区龙城街道碧湖玫瑰园九栋二楼,深圳市
笔架山体育公园,18617073652,福田区华富街道皇岗路笔架山公园,深圳市
平湖文体中心羽毛球馆（公益）,18823319572,龙岗区平湖街道辅城坳社区融湖广场文体中心6层,深圳市
平湖文体中心篮球馆（公益）,18948767073,龙岗区平湖街道辅城坳社区融湖广场文体中心4层,深圳市
坂田云上星动力体育中心（公益）,"130,056,733,121,767,000,000,000,000,000,000",龙岗区坂田街道雪岗北路302号,深圳市
翠湖文体公园（公益开放）,18188617739,罗湖区黄贝街道沙湾路与太白路交叉口,深圳市
狮子山足球公园（公益）,19924564569,宝安区航城街道机场南路辅路,深圳市
友鹏大康足球场（公益）,13923788125,龙岗区园山街道大康社区富民路6-1大康足球场,深圳市
硬汉篮球俱乐部（公益）,15941092561,龙岗区南湾街道南龙社区布沙路215号百门前工业区厂房7栋702,深圳市
【宝安】林丹羽毛球俱乐部（公益场）,13316877010,宝安区石岩街道顺达路与育才路交叉路口往东约50米(石岩体育馆),深圳市
深銮·金鹏足球场（公益）,400-001-6358,龙岗区坂田街道新雪社区上雪路2号,深圳市
新和社区工作站大院,0755-27302112,宝安区福海街道新和社区悦盛二路2号,深圳市
塘尾广场篮球场,0755-85279965,宝安区福海街道塘尾社区塘尾大道塘尾广场篮球场,深圳市
和平康和公园篮球场,0755-29852854,宝安区福海街道和顺路79-1-1号康和公园,深圳市
稔田公园篮球场（稔田文化广场）,0755-27784456,宝安区福海街道稔田社区稔田公园路,深圳市
东方社区南边头小区篮球场,0755-27081734,宝安区松岗街道东方社区南边头小区,深圳市
东方社区上报美小区篮球场,0755-27081734,宝安区松岗街道143-12号东方社区上报美小区商住楼旁边,深圳市
东方社区雾岗小区篮球场,0755-27081734,宝安区松岗街道东方社区雾岗小区,深圳市
碧头第三工业区文化广场篮球场,0755-27053148,宝安区松岗街道碧头社区第三工业区文化广场,深圳市
碧头社区毗邻党建党群服务中心篮球场,0755-27053148,宝安区松岗街道碧头社区松安路沙场2号茅洲河流域毗邻党建党群服务中心,深圳市
潭头第三工业区篮球场,0755-27086860,宝安区松岗街道深圳潭头小学北(松安路东),深圳市
潭头三村篮球场,0755-27086860,宝安区松岗街道潭头三村篮球场,深圳市
潭头新二村篮球场,0755-27086860,宝安区松岗街道潭头新二村篮球场,深圳市
潭头西部工业区篮球场,0755-27086860,宝安区松岗街道潭头第四工业区(外环高速北150米),深圳市
潭头一村篮球场,0755-27086860,宝安区松岗街道潭头一村篮球场,深圳市
沙浦围社区体育公园,0755-23503546,宝安区松岗街道沙浦围社区体育公园,深圳市
江边社区工业园篮球场,0755-27096748,宝安区松岗街道江边社区警务室旁,深圳市
沙浦围社区广场篮球场,0755-23503546,宝安区松岗街道沙浦围社区广场,深圳市
茅洲河公园篮球场,0755-27138347,宝安区松岗街道沙浦围丰功路1号,深圳市
沙浦社区球场,13602656992,宝安区松岗街道艺展四路8号,深圳市
花果山社区篮球场,0755-27051882,宝安区松岗街道环城路30号附近,深圳市
新桥街道长流陂足球场,13922852108,宝安区新桥街道新玉路旁长流陂水厂门口右侧,深圳市
新桥街道洪田火山公园足球场,13922852108,宝安区新桥街道黄埔社区洪田荔枝仔路洪田火山公园停车场,深圳市
