名称,电话,Address,CityName,GCJ_lng,GCJ_lat,WGS84_lng,WGS84_lat,解析结果
新田社区新荔公园篮球场,0755-23204706,宝安区福海街道新田社区新田旧村,深圳市,113.805016,22.668225,113.79340570856475,22.665268265563917,广东省深圳市宝安区福海街道新田村新和社区
新桥街道中心公园篮球场,0755-27226138,宝安区新桥街道新沙路168号,深圳市,113.831174,22.72879,113.81955838876475,22.726042067909948,广东省深圳市宝安区新桥街道新沙路168号
芙蓉体育文化公园,0755-27226138,宝安区新桥街道新玉路与横岗下交叉口,深圳市,113.864637,22.727842,113.8532023549204,22.72468191743296,广东省深圳市宝安区新桥宝安街道新玉路与横岗
田背篮球场,21011606,龙华区福城街道田背一村一路,深圳市,114.037741,22.693651,114.02615017690677,22.690425382938678,广东省深圳市龙华区福城街道田背一村
金倡达科技园篮球场,13714466661,龙华区观湖街道樟坑径社区上围村金倡达科技园,深圳市,114.082379,22.682373,114.07070036825364,22.67927625033174,广东省深圳市龙华区观湖街道樟坑径村上围村金倡达科技园
桔岭新村篮球场,28164280,龙华区福城街道桔岭新村党群V站边,深圳市,114.022632,22.726635,114.0111140832909,22.72319179049558,广东省深圳市龙华区福城街道桔岭新村
章阁股份公司篮球场,,龙华区福城街道章阁路309号（章阁股份公司）旁,深圳市,114.018164,22.746691,114.00668365207831,22.743205475711296,广东省深圳市龙华区福城街道章阁路309号
下围村篮球场,13714506529,龙华区观湖街道下围村篮球场,深圳市,114.077384,22.686462,114.06569183094794,22.683426535908637,广东省深圳市龙华区观湖龙湖街道下围村
松元厦工作站篮球场,,龙华区观湖街道观湖环观中路观城社区工作站内,深圳市,114.058832,22.70298,114.04713729556987,22.699994226193056,广东省深圳市龙华区观湖街道环观中路观城社区工作站
笋岗街道综合性文体服务中心,0755-82440939,罗湖区罗湖区宝安北路4008号二楼,深圳市,114.109639,22.569687,114.09805744298498,22.566148997356144,广东省深圳市罗湖区宝安北路4008号
海上田园五人制足球场,13760376105,宝安区沙井街道民主大道海上田园景区内,深圳市,113.770726,22.727047,113.75911423921052,22.72355188180722,广东省深圳市宝安区沙井街道民主大道海上田园
