ID,名称,经度,纬度
0,起算点,118.543926,31.668734
1,西南门,118.546265,31.672754
2,教工生活超市,118.546484,31.673866
3,小叮町·中国汉堡,118.546702,31.674167
4,教师公寓1号楼,118.54628,31.674556
5,教师公寓2号楼,118.546176,31.674876
6,教师公寓3号楼,118.545662,31.67488
7,教师公寓4号楼,118.546234,31.67521
8,教师公寓5号楼,118.545713,31.675222
9,教师公寓6号楼,118.546169,31.675519
10,教师公寓7号楼,118.54566,31.675569
11,教师公寓8号楼,118.546109,31.67583
12,教师公寓9号楼,118.545786,31.675892
13,教师公寓10号楼,118.545858,31.67625
14,教师公寓11号楼,118.545858,31.67625
15,教师公寓12号楼,118.545858,31.67625
16,教师公寓13号楼,118.545858,31.67625
17,教师公寓14号楼,118.545858,31.67625
18,睿安房地产开发有限公司,118.546772,31.676333
19,体育馆,118.547933,31.673404
20,田径场看台,118.548534,31.67299
21,研究生宿舍1号楼,118.548759,31.674253
22,研究生宿舍1号楼东边,118.548759,31.674253
23,研究生食堂,118.548759,31.674253
24,研究生宿舍5号楼,118.549888,31.675044
25,研究生宿舍6号楼,118.549486,31.675009
26,微电子与数据科学学院,118.552673,31.671552
27,安徽工业大学秀山校区东校区电气楼,118.552732,31.671119
28,映书湖,118.553519,31.671868
29,艺设楼,118.554464,31.67052
30,安徽工业大学秀山校区东校区汇文楼A,118.552036,31.672166
31,安徽工业大学秀山校区东校区汇文楼B,118.552084,31.672568
32,安徽工业大学秀山校区东校区汇文楼C,118.552091,31.673083
33,安徽工业大学秀山校区东校区汇文楼D,118.552176,31.673523
34,安徽工业大学秀山校区东校区机械楼,118.552015,31.674251
35,安徽工业大学秀山校区东校区建筑工程学院,118.552361,31.675214
36,东校区振华图书馆,118.554533,31.673245
37,东校区学术报告厅,118.555158,31.672891
38,安徽工业大学计算机科学与技术学院,118.554846,31.671412
39,学生公寓2号楼,118.556021,31.672398
40,安徽工业大学秀山校区东校区大学生创业孵化基地,118.556047,31.671949
41,学生公寓9号楼,118.555947,31.671478
42,东校区学生公寓6号楼,118.556032,31.673478
43,东校区学生公寓4号楼,118.556058,31.673268
44,东校区学生公寓7号楼,118.556545,31.673578
45,东校区学生公寓3号楼,118.556014,31.67302
46,4号楼,118.556966,31.673199
47,东校区教工宿舍1号楼,118.556696,31.672715
48,东校区教工宿舍2号楼,118.556589,31.6723
49,东校区学生公寓2号楼,118.556121,31.672388
50,芝麻山庄,118.556611,31.672539
51,1教学楼,118.558663,31.671726
52,国际教育学院,118.557501,31.671676
53,创新A楼,118.559566,31.672436
54,材料科学与工程学院,118.558576,31.675451
55,冶金工程学院,118.559845,31.674351
56,化学与化工学院,118.558828,31.676578
57,东校区学生公寓N2宿舍楼,118.557733,31.675673
58,第6学生食堂,118.556885,31.674264
59,东校区学生公寓F号楼,118.556381,31.675361
60,东校区学生公寓E号楼,118.556408,31.67565
61,第9学生食堂,118.55642,31.676244
62,东校区学生公寓K1号楼,118.555935,31.67668
63,东校区学生公寓K2号楼,118.555817,31.677005
64,东校区学生公寓K3号楼,118.555754,31.67733
65,安徽工业大学306办事处,118.556385,31.677146
66,东校区学生公寓L1号楼,118.554946,31.677189
67,东校区学生公寓L2号楼,118.554938,31.677485
68,东校区学生公寓H1号楼,118.554737,31.676059
69,东校区学生公寓H2号楼,118.554765,31.676378
70,东校区学生公寓H3号楼,118.554804,31.67672
71,校医院,118.553882,31.677397
72,东校区学生公寓G1号楼,118.55359,31.676046
73,东校区学生公寓G2号楼,118.553641,31.676361
74,东校区学生公寓G3号楼,118.553712,31.676763
75,东校区学生公寓G4号楼,118.553917,31.677055
76,安徽工业大学秀山校区东校区篮球场,118.555904,31.674567
77,东校区学生公寓A号楼,118.555075,31.674383
78,东校区学生公寓B号楼,118.55513,31.674685
79,东校区学生公寓C号楼,118.555146,31.675222
80,东校区学生公寓D号楼,118.555126,31.675517
81,东校区学生公寓J1号楼,118.551612,31.676252
82,东校区学生公寓J2号楼,118.551534,31.676659
83,东校区学生公寓J3号楼,118.551491,31.676971
84,第八学生食堂,118.55381,31.675252
85,东校区大学生活动中心,118.553841,31.674614
86,北门,118.552459,31.67734
87,东南门,118.556787,31.669395
